Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
566	8.814	0.0000001939	386.6	229.4	0.09897	0.1075	0.0973	0.08667	0.08933	0.08933	8.814	7.829	7.501	9.47	25.56	8.157	9.799	394.8	5.542	0.9818	0.0000001939	0.0000002705	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
567	9.142	0.0000002054	386.9	226.6	0.09834	0.1066	0.09668	0.08571	0.08827	0.08837	9.142	7.829	8.157	9.47	28.84	8.486	10.78	394.5	5.542	0.9595	0.0000002054	0.0000002817	0.004761	8.51	1413.09	1413.09	1413.09	1413.09
568	9.142	0.0000002252	376.3	226.2	0.09741	0.1057	0.09565	0.08466	0.08747	0.08799	9.142	9.142	9.142	10.13	31.46	8.814	10.46	391.2	5.542	0.9096	0.0000002252	0.0000003015	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
569	8.486	0.0000002348	360.5	223	0.09645	0.1047	0.09474	0.08386	0.0865	0.08681	8.486	7.501	7.501	8.814	32.45	9.799	9.799	369.5	5.214	0.8994	0.0000002348	0.0000003089	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
570	9.799	0.0000002507	354.3	220.3	0.09553	0.1038	0.09365	0.08293	0.08578	0.08564	9.799	8.486	8.157	9.47	32.45	8.814	9.47	363.3	5.214	0.9227	0.0000002507	0.0000003221	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
571	9.142	0.000000265	348.2	218.6	0.0944	0.1029	0.09299	0.08214	0.0849	0.085	9.142	7.829	7.501	9.142	34.42	8.486	8.814	356.4	5.542	0.8922	0.000000265	0.0000003334	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
572	8.486	0.0000002825	341	216.2	0.09376	0.1018	0.09199	0.08136	0.08409	0.08423	8.486	7.829	7.501	8.486	35.73	8.814	8.486	349.5	5.542	0.9542	0.0000002825	0.0000003444	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
573	8.486	0.0000003056	336.1	214	0.09254	0.1008	0.09119	0.08043	0.08319	0.08316	8.486	7.829	7.501	9.142	38.36	9.799	9.799	344.3	5.542	0.9411	0.0000003056	0.0000003596	0.004761	8.51	1413.09	1413.09	1413.09	1413.09
574	10.78	0.0000003314	331.1	212.3	0.09134	0.09956	0.09011	0.07935	0.08204	0.08211	10.78	9.799	9.47	11.44	41.64	12.75	10.78	339.4	5.214	0.9296	0.0000003314	0.0000003779	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
575	8.486	0.0000003637	327.9	210.5	0.09051	0.09846	0.08876	0.07838	0.0812	0.0812	8.486	7.501	7.829	8.814	41.64	10.78	9.142	334.5	5.214	0.9204	0.0000003637	0.0000004016	0.004761	9.167	1413.09	1413.09	1413.09	1413.09
